timestamp,ear,pitch_adj,yaw_adj,blink_rate,closed_frames,label
1784730020.884,0.3147,-0.8,-20.3,9,0,Focused
1784730021.074,0.3049,-1.4,-20.5,9,0,Focused
1784730021.265,0.3139,-1.1,-20.8,9,0,Focused
1784730021.427,0.3135,-0.6,-20.2,9,0,Focused
1784730021.613,0.3361,-1.3,-19.2,9,0,Focused
1784730021.806,0.3202,-0.7,-19.7,9,0,Focused
1784730021.957,0.3104,-1.6,-19.5,9,0,Focused
1784730022.11,0.3048,-1.8,-18.8,8,0,Focused
1784730022.294,0.3104,-3.4,-17.3,8,0,Focused
1784730022.485,0.3019,-2.6,-16.6,8,0,Focused
1784730022.654,0.2917,-0.3,-14.4,8,0,Focused
1784730022.819,0.3018,-0.4,-12.4,8,0,Focused
1784730022.987,0.2904,0.2,-11.4,8,0,Focused
1784730023.152,0.2948,-0.2,-12.4,8,0,Focused
1784730023.305,0.2834,0.0,-11.5,8,0,Focused
1784730023.507,0.2803,0.3,-10.2,8,0,Focused
1784730023.733,0.2907,0.0,-9.4,7,0,Focused
1784730023.976,0.2868,-0.1,-10.3,7,0,Focused
1784730024.163,0.3,0.4,-9.4,6,0,Focused
1784730024.308,0.2943,-0.6,-9.5,5,0,Focused
1784730024.488,0.2876,1.1,-8.6,5,0,Focused
1784730024.649,0.2975,0.6,-9.6,5,0,Focused
1784730024.84,0.3041,-0.1,-9.4,5,0,Focused
1784730025.033,0.297,-28.6,14.6,5,0,Focused
1784730025.191,0.3063,0.0,-8.0,3,0,Focused
1784730025.338,0.2974,0.3,-8.4,3,0,Focused
1784730025.508,0.2841,2.1,-6.9,1,0,Focused
1784730025.698,0.2915,0.4,-7.7,1,0,Focused
1784730025.875,0.3078,-28.3,14.7,0,0,Focused
1784730026.046,0.2872,1.9,-7.8,0,0,Focused
1784730026.255,0.2833,2.0,-8.8,0,0,Focused
1784730026.4,0.291,2.6,-6.6,0,0,Focused
1784730026.568,0.2959,2.5,-7.3,0,0,Focused
1784730026.74,0.2931,-24.5,12.5,0,0,Focused
1784730026.916,0.297,3.0,-6.5,0,0,Focused
1784730027.067,0.2937,2.3,-7.0,0,0,Focused
1784730027.226,0.29,4.2,-6.6,0,0,Focused
1784730027.41,0.2931,1.3,-7.3,0,0,Focused
1784730027.575,0.2907,2.8,-7.8,0,0,Focused
1784730027.752,0.2857,2.2,-8.8,0,0,Focused
1784730027.957,0.2823,2.8,-8.2,0,0,Focused
1784730028.164,0.288,1.1,-9.2,0,0,Focused
1784730028.346,0.2779,-25.5,9.0,0,0,Focused
1784730028.546,0.2869,0.7,-9.6,0,0,Focused
1784730028.737,0.3002,0.1,-9.8,0,0,Focused
1784730028.918,0.2829,0.6,-9.5,0,0,Focused
1784730029.08,0.2803,1.1,-8.1,0,0,Focused
1784730029.25,0.2861,0.1,-8.5,0,0,Focused
1784730029.423,0.2785,-28.2,8.4,0,0,Focused
1784730029.602,0.2805,-0.2,-10.1,0,0,Focused
1784730029.796,0.3023,1.0,-9.3,0,0,Focused
1784730029.965,0.29,-0.8,-8.6,0,0,Focused
